sapCode;shopName;shopAddress;workingHours
GM50;РнД Волгодонск4;347382, Ростовская обл, Волгодонск г, Строителей пр-кт, дом № 21;Пн-Вс (08:00-20:00)
L343;Можайск;143200, Московская обл, Можайский р-н, Можайск г, Железнодорожная 1-я ул, дом № 43;Пн-Вс (09:00-19:00)
YP02;Мрмск Полярные Зори Рынок;184230, Мурманская обл, Полярные Зори г, Энергетиков ул, дом № 27;Пн-Вс (10:00-21:00)
GC94;ХМАО Стрежевой;636785, Томская обл, Стрежевой г, 4-й мкр, дом № 402 А;Пн-Вс (09:00-19:00)
LT06;Тыва Кызыл Кочетова;667000, Тыва Респ, Кызыл г, Кочетова ул, дом № 47;Пн-Вс (09:00-21:00)
LP57;Якутия Мирный Советская;678175, Саха /Якутия/ Респ, Мирнинский у, Мирный г, Советская ул, дом № 6, корпус 1;Пн-Вс (09:00-21:00)
GN41;Ствр Изобильный;356140, Ставропольский край, Изобильненский р-н, Изобильный г, Ленина пер, дом № 12а;Пн-Вс (08:00-20:00)
LP70;Камч Петропавловск Парус;683024, Камчатская обл, Петропавловск-Камчатский г, 50 лет Октября пр-кт, дом № 16/1 ТЦ Парус;Пн-Вс (10:00-20:00)
GN37;Ствр Буденновск2;356800, Ставропольский край, Буденновский р-н, Буденновск г, Менделеева пр-кт, дом № 7;Пн-Вс (09:00-19:00)
I024;ПВЗ Крнд Октябрьская;352085, Краснодарский край, Крыловский р-н, Октябрьская ст-ца, Першина ул, дом № 27;Пн-Вс (08:00-20:00)
S055;Мрмск Заозерск ЕС;184310, Заозерск г, Ленинского Комсомола ул 7;Пн-Вс (10:00-20:00)
W334;Кир Яранск Кирова ЕС;612260, Яранск г, Кирова ул 26;Пн-Пт (09:00-18:00), Сб-Вс (09:00-17:00)
LZ43;Якутск Туймаада;677000, Саха /Якутия/ Респ, Якутск г, Орджоникидзе ул, дом № 38 ТЦ Туймаада;Пн-Вс (10:00-21:00)
YP61;СПб Зеленогорск2;197720, Санкт-Петербург г, Зеленогорск г, Вокзальная ул, дом № 9Б, литера А;Пн-Вс (09:00-21:00)
L476;Щелково9;141103, Московская обл, Щелковский р-н, Щелково г, Институтская ул, дом № 27а;Пн-Вс (10:00-20:00)
GC80;ХМАО Нягань3;628180, Ханты-Мансийский АО, Нягань г, Ленина ул, дом № 28 ТЦ Оазис Плаза;Пн-Вс (10:00-22:00)
YP81;СПб Красное село;198320, Санкт-Петербург г, Красное Село г, Ленина пр-кт, дом № 85;Пн-Вс (09:00-21:00)
